Pair,tau12,error tau12,r,error r
tau3->17,10.984196320917416,3.512027314925804,-0.404104078568307,0.1263339167549547
tau3->18,3.5561846699409396,5.486472519325635,-0.6013648080361773,0.07067797167637886
tau3->19,9.344190781310889,3.4249416725065918,0.2978593691359941,0.09539998658193906
tau3->20,1.2975297691466545,1.6408541206135574,0.0908991727530321,0.08438815198315465
tau3->21,0.39139102691579647,0.8753347380187598,0.03336040030892159,0.08205681735326027
tau3->22,0.00661801480453899,0.7408854546819331,-0.004107898645751543,0.09008042265176058
tau3->23,1.742443151564072,1.406386791706866,-0.11430477240021973,0.08386791109012796
tau3->24,0.026637623934743292,0.5224453168202018,-0.00571087128605576,0.0749330477699669
tau3->25,0.4121206322049952,1.0848827238106316,-0.04759249854128604,0.11980234449965103
tau3->26,0.15748707082419888,1.671743826635244,0.1923837771618454,0.12749084267852115
tau3->27,0.928399937078775,1.1339539100180434,-0.10296837631818752,0.12532028797806877
tau3->28,0.038896852642855397,0.6846995959845849,0.09690977949841637,0.11904452082329907
tau3->29,2.6768313415459075,1.8271292584106964,-0.17752504315045284,0.09495843262661442
tau3->30,3.6136495319952684,2.1121858776492286,-0.20481669074603343,0.11515325305851515
tau3->31,1.4517032718834393,1.6804601333748255,0.1872942025826817,0.09220681955501446
tau3->32,3.622649607530124,2.765943944757864,0.25429160760023733,0.09995000493183627
tau3->33,0.11395645440860615,2.3850604500791746,0.24096174908428336,0.08851834530167184
tau3->34,1.5293449800068848,2.4607763751289373,0.39054749742948036,0.08545999578085706
tau3->35,0.28162068423540465,1.1629296970414784,0.08743055892656398,0.08785939055594509
tau3->36,0.019023983720719787,0.9751403642713823,-0.11186362796687982,0.09214959434944649
tau4->1,1.2470305184713641,2.317463822118477,-0.358105808165958,0.0871860075728494
tau4->2,3.697248150038522,2.7541540523385217,-0.5011982965392462,0.07925014183569629
tau4->3,1.3873957632075156,1.5338564461249478,0.24194363378607323,0.1057907820193369
tau4->4,19.94451084693115,5.530541869805507,1.0,0.0
tau4->5,0.3086713668241534,0.7935214293930034,-0.08765254308011412,0.10648571459828562
tau4->6,0.2595965559999544,0.6241543282293365,-0.043798874461121,0.08235811402611837
tau4->7,1.336564979913121,1.8917572827151852,-0.24286922575472475,0.1000250941121406
tau4->8,0.09272198450464732,1.0293895430330418,0.020848129508713762,0.12666813158047857
tau4->9,2.6240748109788257,2.5086126455449707,-0.2434594937786693,0.09609806131137419
tau4->10,0.4741377338402426,1.725021098607516,0.1717317064800136,0.12938529993780015
tau4->11,2.4770154385638805,2.4847469511554943,-0.3287976568737282,0.0872502154790414
tau4->12,3.626626220412063,2.615837614239127,-0.45314555329459266,0.08840881165565628
tau4->13,3.4600069317228797,2.549336551174445,0.44066014384058,0.08335193201984074
tau4->14,2.66145581007971,2.546079772536098,0.8849681616477921,0.025350224836873624
tau4->15,1.2356631722917304,1.8596934201136435,-0.17363536398305773,0.10015017692837283
tau4->16,0.027417651678642133,0.4328053087383666,0.027099622326119736,0.08725627938594839
tau4->17,0.32265285799989724,0.9253862960520411,-0.13803566534231715,0.09397336319705471
tau4->18,0.027383013484068165,1.0381086476393484,-0.13162234895894018,0.11715522161124799
tau4->19,0.41067689075511005,1.0994069596058762,0.08255491845773523,0.09534475327034919
tau4->20,0.7857522057240403,2.1765682563687547,0.2775295680142582,0.1084107984908638
tau4->21,1.9376130856516058,1.2602060718443353,0.14822970898874738,0.07969201323828548
tau4->22,0.1894422944596301,0.523253330242187,-0.0629889058358016,0.08308911648212934
tau4->23,2.362881231347129,1.3294245759118808,0.16804832165042943,0.07564614778650544
tau4->24,0.11324971820226865,0.43159645841658606,-0.12002387989837097,0.08112813038696938
tau4->25,0.4264522568874392,1.1309808554920802,0.24555807806510876,0.1280670942218386
tau4->26,0.010563459570384296,0.6606092773890976,-0.005107713394855231,0.12102614976668725
tau4->27,0.2136301024564294,0.7507429941801541,0.040672301916402594,0.12868217815839836
tau4->28,0.45693887092127317,0.6170471595190069,-0.16185418199746268,0.12332774515620391
tau4->29,0.25540563785408266,1.6211635197502463,-0.2930544645614109,0.1187692636553896
tau4->30,1.0325309489334313,3.3242104673680104,-0.5516421645069806,0.06563936682758373
tau4->31,4.092782878086729,4.20120603361932,0.7785471078302896,0.033024880163609834
tau4->32,1.054114765893846,1.8287004319127818,0.26783219603503994,0.07413479400474801
tau4->33,3.729239344375804,3.6736718182732577,0.4905586804001675,0.0639250056127664
tau4->34,0.12045332510218527,0.4697800484103737,0.06018924779658831,0.08528209490349334
tau4->35,0.1446371539507115,1.3716268985067985,0.22486780245421129,0.10289417257161854
tau4->36,0.13683749440535634,0.8362230299643512,-0.16212823029661347,0.0885825328068801
tau5->1,0.6394477242107256,1.7620566614652733,0.12378653999144289,0.1463575254220815
tau5->2,1.0116766459619346,1.3844593329416424,0.09422427410650155,0.11007433628488207
tau5->3,1.8631897773625399,2.6369476550328868,-0.35698418158078105,0.08816541731492858
tau5->4,0.4329036695783106,0.7547948185002554,-0.08765254308011412,0.10648571459828562
tau5->5,16.79810443697066,6.478108019516209,1.0,0.0
tau5->6,1.5554432269644212,4.605878241780016,-0.49605362978908024,0.07339561131858502
tau5->7,0.161242171195165,1.0793622319277276,0.029856214234293417,0.10848447664502073
tau5->8,0.18273422127028213,1.0260579660784557,0.1300067786909608,0.07041644402987159
tau5->9,0.08196894545266918,0.8834904928333078,-0.03802699691881837,0.07682099220781534
tau5->10,0.10726462343142856,1.2977940696336747,-0.00510534853245486,0.07552352934057074
tau5->11,0.45270899467338105,2.2281304764931256,0.17662218501260782,0.1442620120892448
tau5->12,0.44705169106174214,1.4438073600597943,-0.03689739728914735,0.106927505193837
tau5->13,1.7641731242354832,2.1850725996015687,-0.3136517739036136,0.1027912594735574
tau5->14,1.1588632170565185,1.0689986119055916,-0.23298711140203524,0.09225802535170541
tau5->15,9.66040978092025,8.19761244352067,0.8015973949534924,0.05499341726205535
tau5->16,1.2596989674821037,3.576379031241034,-0.5773881236646513,0.058176898904121886
tau5->17,0.6375772297995846,0.8859693242878799,0.09430488456074165,0.08537772359693661
tau5->18,1.3710713731366055,1.6927748264311997,0.1978659461810903,0.09502305985281977
tau5->19,0.3255015480368053,1.4051451367379284,-0.12460774173603542,0.08368714325794639
tau5->20,0.7526277911167093,1.4686095059972226,0.030125696925111266,0.07114780201030588
tau5->21,0.5039069545295434,0.9004488972958034,0.12299447050102551,0.06541280899131088
tau5->22,1.44170902458756,1.2738498976707757,-0.14726469681705479,0.0819979026503422
tau5->23,0.4044289637136474,1.3686654001662923,0.2179427708412639,0.07511243013390667
tau5->24,0.5411858088053422,0.6350165863789261,-0.08350154693923881,0.0783486043062613
tau5->25,0.5146838503095962,0.7587864314186586,-0.10948181021822366,0.07269021439863096
tau5->26,0.10251363559433281,1.529529062908435,0.131199149058148,0.10778654977263485
