Index,Tau Value,R Value
"[2,17]",0.4934121403476026,-0.4007811607970434
"[2,18]",0.08265506785265858,0.03089463298064823
"[2,19]",0.15019589260803076,0.04741650565035632
"[2,20]",0.006688168004521135,-0.010082984400567568
"[2,21]",0.06576493258804016,-0.031736066857268125
"[2,22]",0.0008107199023150407,0.002446879460017862
"[2,23]",0.05079668721699573,-0.0271432459611701
"[2,24]",0.020958182524857438,0.01983240803312219
"[2,25]",0.0015216082706052108,-0.005262408833285038
"[2,26]",0.2751744421887319,0.06486623448553488
"[2,27]",0.18576836750384149,-0.05345982511163839
"[2,28]",0.020739441702468296,0.023412809866366492
"[2,29]",0.2105502808551425,-0.05591790029244141
"[2,30]",0.002545613329782128,-0.003835921837987111
"[2,31]",0.08726858616681525,-0.03271013175057576
"[2,32]",2.1854340637985037,0.18605444381627168
"[2,33]",0.051822784094507704,-0.029876819495164676
"[2,34]",0.23167092806933764,-0.059819383804635896
"[2,35]",0.7890025594689714,-0.11107565719304638
"[3,0]",0.0035683841353869473,0.018002516428154477
"[3,1]",0.14144763041909642,0.08477012222267172
"[3,2]",0.7446437788804512,0.10974393835147352
"[3,3]",nan,1.0
"[3,4]",0.14213706628561262,-0.049859592844227155
"[3,5]",0.19109617193291104,-0.03456582537685317
"[3,6]",0.04135387238469229,-0.11817427786443405
"[3,7]",0.27040211557393373,0.05582233221072269
"[3,8]",0.1190288628613177,-0.13348960270491725
"[3,9]",0.06779514339819313,0.05222924531987036
"[3,10]",0.04920624543299194,0.0312736707111295
"[3,11]",0.2506573026212283,0.1776408618579278
"[3,12]",0.2922333013255602,-0.05367050405208366
"[3,13]",5.227146300141889,0.7863922823480367
"[3,14]",0.0016467517092130662,0.001353891598559381
"[3,15]",0.25745446864735,-0.04489867956079814
"[3,16]",0.07539791114673787,-0.06888899403747849
"[3,17]",0.0969806300846509,0.041035106850351444
"[3,18]",0.12926816005458788,-0.08594673285108491
"[3,19]",0.022178158338035964,0.06889622521941116
"[3,20]",0.009883466857053222,0.012375959045823367
"[3,21]",0.019847602289947024,0.017346077579609355
"[3,22]",1.7218815111571584,0.1675819262405804
"[3,23]",0.14908923778750205,0.04832399620525091
"[3,24]",0.4267156919161718,-0.08011160922389401
"[3,25]",0.0004511947551081812,-0.0027047753858033437
"[3,26]",0.11048527307223213,0.04299691682548521
"[3,27]",0.0010582830525116473,0.004634492388934367
"[3,28]",0.19574090781737208,-0.05281360688069453
"[3,29]",0.04309184355471111,0.02816370386595434
"[3,30]",1.570689564571966,0.15502519276500648
"[3,31]",0.0006407116317093709,-0.004269874640951883
"[3,32]",0.14640473065249598,0.048109169464863676
"[3,33]",0.459742728496507,-0.08320408515914769
"[3,34]",0.7088275283595747,-0.10528759443642471
"[3,35]",0.7185754786164987,-0.10592490205102599
"[4,0]",2.6931606714925596,-0.19013573203855688
"[4,1]",0.0006165893207135447,-0.05537261968761034
"[4,2]",0.011920247608374932,0.00975473463085723
"[4,3]",0.13318714914002266,-0.049859592844227155
"[4,4]",nan,1.0
"[4,5]",4.2552377021659655,-0.2958388052274281
"[4,6]",0.060352417360343386,-0.03314183259059664
"[4,7]",0.0005763381929168343,-0.0015831680720798673
"[4,8]",0.03415120003880026,0.005782422587137866
"[4,9]",0.05120637673601851,0.04876326938854713
"[4,10]",2.567340115401662,-0.19159871660910177
"[4,11]",0.0037075106023257806,-0.04538731387885139
"[4,12]",0.027439444651245124,0.031211545266253537
"[4,13]",0.21133814469762513,-0.09017590661008154
"[4,14]",10.069611006313083,0.8070820890823781
"[4,15]",7.075019868124738,-0.4181607409770718
"[4,16]",0.021188486498332722,-0.026852861525238858
"[4,17]",0.0035685645505503694,0.002015470091831893
"[4,18]",0.045226671484383106,-0.007418001494607191
"[4,19]",0.09019736485837446,0.039958888023634606
"[4,20]",0.9909413619640458,-0.12505073735724115
"[4,21]",0.40044248829308166,-0.07896305539406084
"[4,22]",0.11468943678292988,-0.04071563219468347
"[4,23]",0.001535816379401382,0.011800853790129602
"[4,24]",0.00020674678512561993,-0.0011802398955238593
"[4,25]",0.556577071290324,-0.09605027135189012
"[4,26]",0.11959698666339078,-0.04338976787871935
"[4,27]",2.7351534210340356,-0.20599763897214263
"[4,28]",0.5332455729845595,-0.09276894484294934
"[4,29]",2.7802304966135774,-0.20235381470682123
"[4,30]",0.010052928446986978,0.014001531832715288
"[4,31]",1.0323402847017278,-0.12322097965212149
"[4,32]",0.10498582392280231,0.041701631944971805
"[4,33]",6.128899364370338,-0.3159223941184882
"[4,34]",0.20733839972278403,0.05457468328695525
"[4,35]",0.6760387426778598,-0.1073031068411375
"[5,0]",0.03998299192293377,-0.13694619470949976
"[5,1]",0.09568795329684479,-0.01619277145350725
"[5,2]",0.0035000557148656924,-0.0012119148781150556
"[5,3]",0.2536913337700203,-0.03456582537685317
"[5,4]",1.1906056245879608,-0.2958388052274281
"[5,5]",nan,1.0
"[5,6]",0.0022092026725646758,0.00015421695731279456
