# time X1 X2
1.302032550813770513e+02 -1.025979232039307687e-01 9.185138230601321702e-03
1.302132553313832943e+02 -1.031180353966048568e-01 1.343354442918722955e-02
1.302232555813895374e+02 -9.189025847379504730e-02 7.894469438601128819e-03
1.302332558313958089e+02 -9.272718188162329400e-02 1.371260472204305705e-02
1.302432560814020519e+02 -6.829080925087058218e-02 7.598283574782233041e-03
1.302532563314082950e+02 -6.623230399994567419e-02 5.554488250306589478e-03
1.302632565814145380e+02 -5.492436084911147404e-02 5.748546567706912941e-04
1.302732568314208095e+02 -4.631984438829243877e-02 1.492436181336780771e-02
1.302832570814270525e+02 -4.614649733792305225e-02 2.684570499812040031e-02
1.302932573314332956e+02 -5.142051369975784991e-02 1.654279402239802049e-02
1.303032575814395386e+02 -4.750395530698274527e-02 2.975361211997142041e-02
1.303132578314458101e+02 -4.177916038124033365e-02 2.147589653643336427e-02
1.303232580814520531e+02 -4.697984977601103729e-02 3.978983749160828337e-02
1.303332583314582962e+02 -4.464771343128633163e-02 5.510144499405875140e-02
1.303432585814645392e+02 -3.156367928940721768e-02 7.647815378722690183e-02
1.303532588314708107e+02 -1.016617433688022168e-02 7.864282316440870946e-02
1.303632590814770538e+02 -1.127605274195161641e-03 7.505151076030433521e-02
1.303732593314832968e+02 1.788652519615113734e-02 7.127336288133719056e-02
1.303832595814895399e+02 1.177028464653175240e-02 7.431244737931766431e-02
1.303932598314958113e+02 1.904296655755596118e-02 6.342914768320695451e-02
1.304032600815020544e+02 3.255487771620915738e-02 3.869852517531965908e-02
1.304132603315082974e+02 2.345948823520370083e-02 3.431489651784754014e-02
1.304232605815145405e+02 1.854056671499080752e-02 3.438102668943226331e-02
1.304332608315208120e+02 3.590611379964056549e-02 3.959248178231862536e-02
1.304432610815270550e+02 2.599402651268635511e-02 4.316880106625495261e-02
1.304532613315332981e+02 1.253862992633365814e-02 4.414538657323378162e-02
1.304632615815395411e+02 2.791378629633160455e-02 5.539864139715836716e-02
1.304732618315458126e+02 3.987927389015846757e-02 4.611843316171475304e-02
1.304832620815520556e+02 4.403227575690315393e-02 3.893700378403405771e-02
1.304932623315582987e+02 4.332953047179601697e-02 5.963937942299903094e-02
1.305032625815645417e+02 3.880918700814323108e-02 2.720529244873535341e-02
1.305132628315708132e+02 4.137661033839599295e-02 3.812355774375909140e-02
1.305232630815770563e+02 5.695153159774633128e-02 4.337642060474900668e-02
1.305332633315832993e+02 5.898455964621337339e-02 4.292882095642844287e-02
1.305432635815895424e+02 8.027895082700303719e-02 5.146123939690794985e-02
1.305532638315958138e+02 7.075404765931524176e-02 5.813155379881004142e-02
1.305632640816020569e+02 7.014035740843345412e-02 4.295724425798982948e-02
1.305732643316082999e+02 6.592315337899991301e-02 3.278846079655772794e-02
1.305832645816145430e+02 5.457644871756937160e-02 2.765375722009777090e-02
1.305932648316208144e+02 5.263811568639761157e-02 6.164649011985788574e-03
1.306032650816270575e+02 5.631585079119795501e-02 6.016595458067345789e-03
1.306132653316333005e+02 6.102507706009661220e-02 1.233155924282342691e-02
1.306232655816395436e+02 8.218100587515532462e-02 2.386556643371807312e-02
1.306332658316458151e+02 8.612319834580796363e-02 2.440660771766047996e-02
1.306432660816520581e+02 9.688536743773434878e-02 1.666684013699032060e-02
1.306532663316583012e+02 9.666079042703171198e-02 1.874021940297491279e-02
1.306632665816645442e+02 1.125684396243022273e-01 1.776553500555765747e-02
1.306732668316708157e+02 1.355160757589676801e-01 2.543869278617713614e-02
1.306832670816770587e+02 1.395989597750683930e-01 2.473049235062731166e-02
1.306932673316833018e+02 1.284000324845550323e-01 3.337774145013507054e-02
1.307032675816895448e+02 1.217948706391884794e-01 3.042975378734044667e-02
1.307132678316958163e+02 1.235484137337849175e-01 4.302772111125161697e-02
1.307232680817020594e+02 1.270930485545097854e-01 4.437288881537787555e-02
1.307332683317083024e+02 1.330282338568853084e-01 3.795028530410532452e-02
1.307432685817145455e+02 1.364896797571373832e-01 3.423943058088340513e-02
1.307532688317208169e+02 1.353658292750298253e-01 4.116746396454289136e-02
1.307632690817270600e+02 1.278560238900809387e-01 2.804854194886376162e-02
1.307732693317333030e+02 1.307290889735667483e-01 2.647261262958074124e-02
1.307832695817395461e+02 1.481040347217855435e-01 3.689994944465656984e-02
1.307932698317458176e+02 1.570067801760685333e-01 4.169980111309926768e-02
1.308032700817520606e+02 1.609922508762353099e-01 2.977468465841105749e-02
1.308132703317583037e+02 1.698268710289925210e-01 3.258934298418973696e-02
1.308232705817645467e+02 1.645809087446150065e-01 1.884340244498842326e-02
1.308332708317708182e+02 1.579466652085605993e-01 2.052038535224065888e-02
1.308432710817770612e+02 1.489919494395763877e-01 3.411365868226855919e-02
1.308532713317833043e+02 1.464197320108975853e-01 3.450652342018343394e-02
1.308632715817895473e+02 1.409080083407987238e-01 2.284234020858644937e-02
1.308732718317958188e+02 1.516958873649550676e-01 2.070402260273963152e-02
1.308832720818020618e+02 1.455292144274973332e-01 2.244165524941031664e-02
1.308932723318083049e+02 1.361589133972202492e-01 3.313829268775988351e-02
1.309032725818145479e+02 1.543887875149931588e-01 4.363819289628332460e-02
1.309132728318208194e+02 1.485493382935111906e-01 3.230944425713441065e-02
