# EPAC,CPAC,NAT,WPAC
1.121004343032836914e+00,1.191809773445129395e+00,-1.801039427518844604e-01,7.517915368080139160e-01
1.060843944549560547e+00,1.488309621810913086e+00,-3.650379925966262817e-02,-1.805637218058109283e-02
1.308585882186889648e+00,1.450108170509338379e+00,3.561179041862487793e-01,4.980178475379943848e-01
6.134420037269592285e-01,1.084854245185852051e+00,-4.667023122310638428e-01,1.165452077984809875e-01
-4.889711439609527588e-01,4.101438820362091064e-01,4.648928642272949219e-01,-3.642024705186486244e-03
-2.943663597106933594e-01,1.013143807649612427e-01,6.923314332962036133e-01,-5.893517732620239258e-01
-1.082316875457763672e+00,1.354615837335586548e-01,9.778979420661926270e-01,1.423885822296142578e+00
-1.268277764320373535e+00,-3.614074587821960449e-01,1.272665143013000488e+00,-1.488319873809814453e+00
-2.021498203277587891e+00,-5.209422111511230469e-01,3.843220174312591553e-01,-7.490262389183044434e-01
-2.076333284378051758e+00,-9.750958681106567383e-01,-3.771027028560638428e-01,-3.749637305736541748e-01
-1.818944096565246582e+00,-1.793082356452941895e+00,-6.232866644859313965e-01,-1.870300054550170898e+00
-1.095591545104980469e+00,-1.696032404899597168e+00,-2.953280210494995117e-01,-1.541307806968688965e+00
-5.680787563323974609e-01,-1.539674043655395508e+00,-1.398555517196655273e+00,-1.143187522888183594e+00
-1.547778487205505371e+00,-1.999094009399414062e+00,-1.138011455535888672e+00,-6.515771150588989258e-01
-7.389126420021057129e-01,-2.103416442871093750e+00,-4.282656311988830566e-01,1.048716157674789429e-01
-9.597194194793701172e-01,-1.613903522491455078e+00,-4.137336313724517822e-01,-8.209964632987976074e-01
-8.920727372169494629e-01,-1.401288032531738281e+00,-4.049628674983978271e-01,-9.438229203224182129e-01
-8.081028461456298828e-01,-1.625230193138122559e+00,-1.642589688301086426e+00,-9.025085568428039551e-01
-3.480823636054992676e-01,-1.471003532409667969e+00,-1.072230577468872070e+00,1.009422659873962402e+00
-3.334956765174865723e-01,-7.965022325515747070e-01,-1.385915279388427734e+00,-1.371279358863830566e+00
5.502716302871704102e-01,-2.847956418991088867e-01,-1.447568655014038086e+00,-9.041327238082885742e-01
7.105321884155273438e-01,9.028027206659317017e-02,-1.336816072463989258e+00,-2.993391752243041992e-01
1.865308731794357300e-01,-1.986962109804153442e-01,-1.025539040565490723e+00,-1.031121134757995605e+00
1.692043691873550415e-01,-9.357965737581253052e-02,-1.131218433380126953e+00,-8.027247190475463867e-01
1.070373505353927612e-01,-1.025418043136596680e+00,-8.502092957496643066e-01,-8.019126653671264648e-01
-2.944435477256774902e-01,-9.000723361968994141e-01,-9.699047207832336426e-01,-4.032848775386810303e-01
-3.506678342819213867e-01,-1.235484004020690918e+00,-1.600025653839111328e+00,1.378105044364929199e+00
-6.679087281227111816e-01,-1.301730394363403320e+00,3.618791103363037109e-01,-1.848364621400833130e-01
-6.248819231986999512e-01,-6.694010496139526367e-01,-5.808085203170776367e-01,2.011026144027709961e-01
-2.999231815338134766e-01,-1.904624253511428833e-01,4.321314096450805664e-01,7.223538160324096680e-01
5.905586481094360352e-01,-2.868854403495788574e-01,2.501805722713470459e-01,6.778926253318786621e-01
-2.344760894775390625e-01,-1.546433866024017334e-01,-1.242976635694503784e-01,2.042506588622927666e-03
8.384530991315841675e-02,-2.395307570695877075e-01,-3.435409814119338989e-02,-2.777176499366760254e-01
4.434956312179565430e-01,1.149510312825441360e-02,-3.949022591114044189e-01,9.441614151000976562e-02
9.008921384811401367e-01,5.685479845851659775e-03,-1.009948849678039551e-01,-4.275456666946411133e-01
6.124772429466247559e-01,-2.253201603889465332e-01,-1.019003987312316895e+00,-1.582723617553710938e+00
5.617693439126014709e-02,-5.596869587898254395e-01,-4.581035077571868896e-01,-1.044621825218200684e+00
-2.879605591297149658e-01,-8.215797543525695801e-01,-2.336745411157608032e-01,-1.427312612533569336e+00
-6.893642544746398926e-01,-9.088912606239318848e-01,-8.098808526992797852e-01,-1.326209187507629395e+00
-1.296332001686096191e+00,-9.954086542129516602e-01,-3.442552387714385986e-01,-1.514509320259094238e+00
-1.200631141662597656e+00,-6.862447857856750488e-01,2.490627169609069824e-01,-1.880450963973999023e+00
-4.140697121620178223e-01,-1.062616348266601562e+00,-1.131192073225975037e-01,-2.472961902618408203e+00
-2.054956853389739990e-01,-9.212210178375244141e-01,-1.631642878055572510e-01,-1.307632923126220703e+00
2.758241817355155945e-02,-1.051582336425781250e+00,-3.074523508548736572e-01,-4.620589017868041992e-01
