File,TAB,TBA,Error TAB,Error TBA,Significant TAB,Significant TBA
69s,0.017130367115236245,0.33565721584203967,0.010711147777179979,0.01759667438395542,"(False, 1.5993026584632102, 0.10975336913196831)","(True, 19.0750370506424, 0.0)"
70s,0.014735101394132491,0.3213242731931869,0.010393588150919024,0.017073376938944278,"(False, 1.4177107251290866, 0.15627523752900352)","(True, 18.820194408069796, 0.0)"
71s,0.014735101394132491,0.3213242731931869,0.01025233697768351,0.018147814321071886,"(False, 1.4372431794045313, 0.15064890776958606)","(True, 17.705948909786297, 0.0)"
72s,0.014400591866392629,0.3014581081677029,0.00874970718022932,0.017536897899358594,"(False, 1.6458370057151108, 0.09979732119774343)","(True, 17.18993347043029, 0.0)"
73s,0.014400591866392629,0.3014581081677029,0.009625869610493462,0.017499064517257135,"(False, 1.4960302236687366, 0.13464577930810373)","(True, 17.22709850406075, 0.0)"
74s,0.01811396030755731,0.2815232670183375,0.0081478488990945,0.014643573763753135,"(True, 2.223158594604078, 0.026205107723098475)","(True, 19.225038338331377, 0.0)"
75s,0.01811396030755731,0.2815232670183375,0.009623840778232225,0.013335744976469402,"(False, 1.8821965912537273, 0.0598093283217771)","(True, 21.110426715198773, 0.0)"
76s,0.016752793538515984,0.2657308612628211,0.0081168703089965,0.01497603638123147,"(True, 2.0639474207130895, 0.03902270190600898)","(True, 17.743737695231893, 0.0)"
77s,0.016752793538515984,0.2657308612628211,0.008246197217052345,0.015190166947985438,"(True, 2.0315780835162194, 0.042196387290699855)","(True, 17.493610318618853, 0.0)"
78s,0.018001269360059455,0.25034599295156135,0.008792392187576298,0.013469685184681618,"(True, 2.0473687906569222, 0.04062188828092639)","(True, 18.585883004620406, 0.0)"
79s,0.018001269360059455,0.25034599295156135,0.00876146523997152,0.012764371065313572,"(True, 2.0545957630390563, 0.03991806525196928)","(True, 19.61287333865292, 0.0)"
80s,0.016585049843160997,0.24094939077548605,0.008262374497679113,0.014630406782906292,"(True, 2.0072982467473133, 0.044717915735704716)","(True, 16.4690834883008, 0.0)"
81s,0.016072355679577682,0.2307841413731445,0.007980054818094256,0.013062133269031545,"(True, 2.0140658235999407, 0.04400262312238379)","(True, 17.668181499901, 0.0)"
82s,0.016072355679577682,0.2307841413731445,0.008161715552637058,0.01340194761232145,"(True, 1.9692374202363239, 0.04892583365226555)","(True, 17.220194261986723, 0.0)"
83s,0.01538593481107476,0.22386472544808822,0.007319702688209679,0.013335349926425193,"(True, 2.1019890378686945, 0.035554236079585744)","(True, 16.787315419783635, 0.0)"
84s,0.013481388824734722,0.21732829380070584,0.007130738244012596,0.012085471218980555,"(False, 1.89060211767758, 0.05867747735754958)","(True, 17.982608196475283, 0.0)"
85s,0.014483002538107914,0.2082138629037742,0.008090555075841966,0.013300823810987723,"(False, 1.7901123473411003, 0.07343585223035687)","(True, 15.654208029713926, 0.0)"
86s,0.014483002538107914,0.2082138629037742,0.006884266019069354,0.01262063141492213,"(True, 2.1037831045444975, 0.035397371261994826)","(True, 16.4978958705339, 0.0)"
87s,0.014215791263139349,0.19641312208963102,0.007074930125855586,0.011289378345394174,"(True, 2.0093189629092207, 0.04450331812412878)","(True, 17.3980458516357, 0.0)"
88s,0.017478963078042094,0.18844331162270145,0.00689402695101634,0.011116876044390695,"(True, 2.535377828116162, 0.011232610184620295)","(True, 16.951103068004915, 0.0)"
89s,0.017693396052958395,0.1820971751404991,0.006095386436053324,0.010599339770746705,"(True, 2.9027521451805796, 0.0036989925781296673)","(True, 17.18004885955936, 0.0)"
90s,0.019755787471024813,0.17693160303898503,0.00621669771676286,0.0109563450447415,"(True, 3.177858787914814, 0.001483669930312459)","(True, 16.148779754239612, 0.0)"
91s,0.01885214495427137,0.17157347362152947,0.005882312611814938,0.010339655553425833,"(True, 3.204886614901397, 0.0013511569546473812)","(True, 16.593732038267188, 0.0)"
92s,0.018429727045300506,0.16342619537913994,0.006272376839591553,0.00954841617060401,"(True, 2.938236575483022, 0.0033008503690183932)","(True, 17.11552915783749, 0.0)"
93s,0.020665742020887896,0.1584044417201984,0.006076267627411758,0.00934060011550901,"(True, 3.4010585589842854, 0.0006712544674525311)","(True, 16.95870070031001, 0.0)"
94s,0.020862619444691782,0.15383217731870236,0.0054278552328057336,0.009070964564446784,"(True, 3.843621200248483, 0.00012123208425052212)","(True, 16.958745260855753, 0.0)"
95s,0.020763170498385546,0.15029687880643988,0.005806618908728447,0.009108703078287027,"(True, 3.5757763381327767, 0.0003491901026189126)","(True, 16.500359877215864, 0.0)"
96s,0.02094311081968102,0.14608763269507408,0.005684500292743852,0.008196208885327424,"(True, 3.684248349219802, 0.0002293785155500494)","(True, 17.823805461644007, 0.0)"
97s,0.020782357597224424,0.141152194099034,0.0053504039628239726,0.00898489288209291,"(True, 3.8842595328550447, 0.00010264222180911275)","(True, 15.709947347324913, 0.0)"
