Source,Destination,TE_Kraskov,Null Mean,Null Std Dev,P-value,Surrogates
3,5,0.0018948000972161538,-0.00028063397527985256,0.00882749094802,0.33,50
3,6,-0.01484308518675026,-0.001986920551358398,0.009144627071613745,0.92,50
3,7,-0.00911191252417659,4.730704995283941e-05,0.00996569489469478,0.82,50
3,8,0.0004895733142568082,-0.0009911834593644387,0.008467457664191573,0.48,50
3,9,-0.0067942208806979765,0.0008687783388273412,0.010103485607621813,0.84,50
3,10,0.008285337200677811,0.0007971669678824622,0.008809599817901649,0.19,50
3,11,-0.0049282112592998195,-0.0009639846443221434,0.007849770765763837,0.69,50
3,12,-0.0025137383555837722,0.00148610641962797,0.010161024495283777,0.64,50
3,13,-0.0022350748122522135,-0.001975684579816833,0.009090955788948018,0.5,50
3,14,-0.006473158375148058,0.0007274291522323361,0.009640725288902119,0.74,50
3,15,0.0010229791076007966,-0.0011659112647778836,0.008341705073571218,0.37,50
3,16,0.0038173191200492895,-0.0007101381497917986,0.008790973121564957,0.3,50
3,17,0.005897603696680076,-4.80862666116999e-05,0.009235688146131158,0.21,50
3,18,-0.005736801008082548,-0.000477726461492019,0.00978629859995583,0.73,50
3,19,0.006405320928782932,0.0017822692423764392,0.008302836080796993,0.35,50
3,20,-0.05767178983025223,-0.07482334225620071,0.0042495147247533175,0.0,50
3,21,-0.07823309807115675,-0.08352796091472596,0.004022261343571958,0.12,50
3,22,0.005214148883852077,-0.01745721825467897,0.0074038377519278385,0.0,50
3,23,0.01717318275259888,-0.0027895796135670877,0.007717001999621927,0.01,50
3,24,-0.03840526031518415,-0.06347987168239175,0.0043530019733400436,0.0,50
3,25,-0.026864903533058315,-0.04809726594638764,0.004812898286605313,0.0,50
3,26,-0.0956945560319381,-0.10577993220062779,0.0033313244779698452,0.0,50
3,27,-0.10174265626697576,-0.10785895854974221,0.0025595479181437348,0.01,50
3,28,0.0009688666081240083,-0.0022751035060653195,0.008249766511652365,0.32,50
3,29,-0.008147363190244339,-0.0035507137570168117,0.008252227295979941,0.73,50
3,30,0.0168026254639837,-0.003469330371677392,0.007272612864606526,0.0,50
3,31,-0.036132638900303826,-0.051169443445792266,0.004412570373857445,0.0,50
3,32,0.0011277962393876906,-0.0013359387475545726,0.008423524984932498,0.46,50
3,33,0.008942363574606538,-0.00250032779456828,0.007701936009220337,0.05,50
3,34,-0.09220597053750512,-0.10288300538876864,0.0028037912252507706,0.0,50
3,35,-0.012788881561594856,-0.045269653826348934,0.00508127334544296,0.0,50
4,0,0.014077160907369324,0.0007717002878182327,0.008628128744766891,0.07,50
4,1,0.019913580243793916,-0.001054193863488373,0.008876905446199122,0.01,50
4,2,0.01133206405515641,-0.0016465715180090372,0.00839993036926893,0.05,50
4,3,0.001060832636223752,-0.00039832388607269396,0.009640843658620906,0.46,50
4,5,0.0052583894226324035,-0.00019196326267333585,0.008712306323099463,0.29,50
4,6,0.001560968124762141,-0.0008676115697460491,0.009307261791502142,0.4,50
4,7,-0.0001838834489111263,-0.001704766817692555,0.008506547326903629,0.46,50
4,8,-0.0030519580737412566,-0.0011701823299747644,0.010016387168323869,0.58,50
4,9,-0.005602654382529104,0.0002499214922133863,0.007983444731654953,0.76,50
4,10,-0.010952959826429187,-0.0008515616494399414,0.00886384899389376,0.9,50
4,11,0.0034249716474043512,0.0011153820154169468,0.009203731981730509,0.43,50
4,12,-0.013578340548512702,-1.3299812155987411e-05,0.009956316472150551,0.93,50
4,13,-0.003506309113631423,0.0010023035038691757,0.008759746612488907,0.67,50
4,14,0.01416291682545806,-0.0008133851605332094,0.00808997410336309,0.03,50
4,15,-0.007551176745194288,-7.410974548023697e-05,0.008040162557999976,0.84,50
4,16,0.004660637053987615,7.9316852691384e-05,0.010061533043288669,0.33,50
4,17,-0.0003895167203382677,-0.0010111657387099405,0.00821382598952892,0.46,50
4,18,0.010371090729525245,-0.00022049781249711408,0.008288714640715403,0.12,50
4,19,0.012918418529346554,0.0004776661109960295,0.00986014044666307,0.09,50
4,20,-0.059345929304468525,-0.07520725633629492,0.003569857466284624,0.0,50
4,21,-0.06450596930971514,-0.08296084123959935,0.0036140904980546304,0.0,50
4,22,-0.013654468491288319,-0.016467344561171965,0.006553292303874251,0.34,50
4,23,-0.01833736732822866,-0.004729743769076266,0.008038322390869273,0.95,50
4,24,-0.04798341110280424,-0.06347819575253782,0.004593497065519816,0.01,50
4,25,-0.033151929540946146,-0.04866076134402049,0.004446892673574657,0.0,50
4,26,-0.09335860745782232,-0.10526853721393369,0.0029445181338668028,0.0,50
4,27,-0.09549307820794539,-0.10764587579016081,0.003184537731321911,0.0,50
4,28,0.001374424712506761,-0.0024770907315728647,0.00717561800109473,0.31,50
4,29,-0.002318960314357965,-0.003970357567319302,0.008216568441500382,0.39,50
4,30,-0.007100032004107859,-0.0044130675132024655,0.008530002167358691,0.58,50
4,31,-0.035127859547711304,-0.05170566457950886,0.004709349947663044,0.0,50
4,32,-0.004340542039926953,-0.0022365346535724055,0.008500283772901593,0.62,50
4,33,-0.0014078761212267255,-0.0028256800501244763,0.007335967687992617,0.4,50
4,34,-0.09087627565491674,-0.1030587180836784,0.0034184113387595357,0.0,50
4,35,-0.02900826378921728,-0.0436889452712486,0.005198223996953983,0.0,50
5,0,0.014349529153973084,0.0006831148007811095,0.009083219682635932,0.06,50
5,1,0.015257748252435366,0.001482431378634967,0.007652016825608171,0.05,50
5,2,0.018835321020846896,0.0005952617143238453,0.009488362204789446,0.03,50
5,3,0.018037755128978317,-0.0003821801994020518,0.009851271036945084,0.05,50
5,4,0.012933796826775479,-0.0012549642899666441,0.008908171537718897,0.03,50
5,6,-0.006483358368314485,-0.00234252882982316,0.008942506645466381,0.71,50
5,7,-0.001913524055829341,-0.0012296085636265169,0.009077590841494976,0.51,50
5,8,0.004694802011767418,-0.00016271000992149065,0.008379513511213816,0.3,50
5,9,-0.018776427076079294,9.524189353229295e-05,0.008038600316650402,1.0,50
5,10,0.0010974777024289617,0.0004108462640849669,0.00862593426805319,0.46,50
5,11,-0.006361396288336263,-0.0013316350437395442,0.00893881751367788,0.73,50
5,12,-0.007952846199189567,-0.00071062509646586,0.009970603066482195,0.78,50
5,13,-0.006532787916244842,-0.00045652380574108477,0.009328263848043772,0.74,50
5,14,0.009124038325319273,-0.00013072395758103095,0.009607620011341078,0.15,50
5,15,-0.0048680247054351256,0.0005653041358070443,0.009289380532411831,0.67,50
5,16,-0.00610380354937079,7.529038608946048e-05,0.0090052960285167,0.73,50
5,17,-0.017915526719541386,0.000351625443335149,0.009608480786539756,1.0,50
5,18,-0.0038871252393105626,-0.001324465652322564,0.008669051699218621,0.61,50
5,19,0.008923030931535902,-0.0009523442099808382,0.009284072496604493,0.13,50
5,20,-0.06683756756848841,-0.07436310254806175,0.0039905453007383785,0.03,50
5,21,-0.0736100328133496,-0.08344468349134254,0.0036333046291549737,0.02,50
5,22,-0.012606734136046793,-0.016724157922012248,0.007445313354443792,0.26,50
5,23,0.004966986103942361,-0.0026135683184914118,0.007261092947374504,0.17,50
5,24,-0.05025966547690586,-0.0628038959270368,0.0045955694632510095,0.0,50
5,25,-0.028545271194696353,-0.048655977145512244,0.005587808113594311,0.0,50
5,26,-0.10083166056240822,-0.1059217694500777,0.0033236596691332996,0.07,50
5,27,-0.10195912951922337,-0.10682158494557656,0.0028997535053975594,0.04,50
5,28,-0.006503867919146478,-0.001610493725664603,0.008148538818178005,0.73,50
5,29,-0.01210124506157495,-0.004153721748365924,0.008768059876452147,0.81,50
5,30,-0.016069021065477973,-0.0015227922192138743,0.008756125845373915,0.94,50
5,31,-0.04124138725330756,-0.051455658847238996,0.0048200498372906395,0.03,50
5,32,-0.006031646953456593,-0.0022459269182344916,0.009399898205619248,0.63,50
5,33,0.014723828752741974,-0.002433946311927432,0.007563201905591089,0.01,50
5,34,-0.10015499874269196,-0.10356646343765856,0.0029871094097120893,0.15,50
5,35,-0.021808892637846133,-0.04388284502742468,0.005397479304686074,0.0,50
6,0,-0.00499741228541456,-0.0018162996175676415,0.008354494480474818,0.66,50
6,1,0.00041491024199591386,0.0008481927079500279,0.00813123669951315,0.47,50
6,2,-0.0035027611744806175,-0.0012243645179017637,0.0081961567401987,0.6,50
6,3,-0.015895648924534767,-0.0013867323966910289,0.007890657454056316,0.96,50
6,4,-0.0003409755726644925,-0.0019269382930474604,0.00896157292608914,0.45,50
6,5,0.0014593001600303745,0.00019718609880942816,0.008566933252879057,0.47,50
6,7,-0.009016453265811908,0.0005876370643216828,0.00858602197352819,0.89,50
6,8,0.011201240496294895,0.0017707043390270561,0.008690125731191154,0.15,50
6,9,0.0005809725989843195,0.00017431025402581623,0.008636118536517395,0.52,50
6,10,-0.0014895122994335042,0.00010925533139875932,0.008637017995424762,0.56,50
6,11,0.013706793068286038,-0.0024303167144662714,0.009833250827591157,0.05,50
6,12,0.01332781894060503,0.0012345973493890778,0.008956560159005648,0.1,50
6,13,0.00723591114843497,-0.0011227236648457361,0.00836389979076599,0.17,50
6,14,0.005089689382924478,-0.0013085384141736816,0.008340370105063482,0.26,50
6,15,0.0024131477585776495,0.00022397609588571676,0.009212194312274838,0.41,50
6,16,0.0018626761453787166,-0.0009754705925098112,0.009782648261979143,0.43,50
6,17,-0.0005271285596893382,-0.0006447848120231664,0.008203323055034496,0.49,50
6,18,0.009030806347960219,-0.0010157252204853263,0.009167119865528888,0.13,50
6,19,0.00781896996010989,-0.0001749350395938004,0.008738082547288218,0.14,50
6,20,-0.06273483024197091,-0.07454946947888223,0.0039970556321733295,0.0,50
6,21,-0.07746986167201331,-0.08286832590673855,0.0034882016986003124,0.05,50
6,22,-0.004937636454074246,-0.01650739102599316,0.006502342961471001,0.03,50
6,23,-0.009527502167050561,-0.00406092658602838,0.009134301593674343,0.7,50
6,24,-0.046781675240941234,-0.06317329802898622,0.0037907489623952703,0.0,50
6,25,-0.039350077595438404,-0.048384471895970435,0.005274368487855085,0.06,50
6,26,-0.10032914450674557,-0.10584610388750355,0.002851681464688066,0.01,50
6,27,-0.10225731275447869,-0.10737036187780859,0.0031322125809384116,0.07,50
6,28,-0.0022216417289784296,-0.003018934675264226,0.00777112502947038,0.47,50
6,29,-0.017498405125974226,-0.0038586032342246166,0.007942559669317542,0.96,50
6,30,-0.003796687627461104,-0.003382947169849663,0.008409261938033999,0.54,50
6,31,-0.04358548455569411,-0.05306619128743394,0.005083775972938342,0.03,50
6,32,0.005832689156323845,-0.0012460664817068629,0.008541869618043277,0.24,50
6,33,-0.0006174188924573665,-0.0026926460191274253,0.008167863465926333,0.4,50
6,34,-0.09817263044628277,-0.10277588061275614,0.0030548995450273347,0.05,50
6,35,-0.025412528988397576,-0.04407791280349651,0.005218522007208475,0.0,50
7,0,0.008934367209906868,0.0006189296737466743,0.009219362433299606,0.17,50
7,1,0.005775175225777585,0.0007054868289277489,0.00838278276877661,0.27,50
7,2,0.0076507546226002865,-0.0014808128506686219,0.008527743118979613,0.11,50
7,3,0.005274827253869019,-0.0004777614907937744,0.008990471348098814,0.27,50
7,4,-0.003247954510192108,-0.0012835295113449397,0.009316839737262763,0.6,50
7,5,0.011113372657586496,-0.000876995121495851,0.008778735358964552,0.08,50
7,6,-0.00165105895079809,0.0005831898053294321,0.008130308035132287,0.63,50
7,8,0.010737900837164416,0.00042683780312678557,0.0096066388698934,0.18,50
7,9,-0.004674949003865891,0.0011494617950553654,0.009852032476187374,0.74,50
7,10,-0.004676529523182815,-0.0009699847976550769,0.008074498355868253,0.65,50
7,11,-0.0027562225686472708,-0.0007013942897123849,0.008790562597288866,0.63,50
7,12,-0.004856907447295389,2.79911422101764e-06,0.00838754630915812,0.77,50
7,13,-0.0053083098974410214,-0.00041004577119854057,0.009483676880062361,0.71,50
7,14,-0.0024229275435056485,-0.0007238995991534575,0.00864670349210127,0.59,50
7,15,0.0163911035248549,-0.0012031894481661415,0.008563514973193291,0.0,50
7,16,0.020137408551506142,0.0013099101918224792,0.008897318306987777,0.02,50
7,17,-0.010300567629809743,-0.0008290992446960949,0.007825703924135835,0.92,50
7,18,-0.011733918193754023,-0.0015078681900398616,0.00972662595243991,0.85,50
7,19,-0.0036286278103336844,0.0006103967976741326,0.009510188538701562,0.72,50
7,20,-0.06419346543479915,-0.07499431496146622,0.004243899023941631,0.01,50
7,21,-0.07082878340470639,-0.08317399850477632,0.0033869902750231916,0.0,50
7,22,-0.009689500332995205,-0.01718409963684235,0.006887051237265451,0.16,50
7,23,-0.012070617087723279,-0.0033913865325797417,0.00764094517463263,0.87,50
7,24,-0.05059803069058516,-0.06272215813141785,0.004701938296332058,0.0,50
7,25,-0.036101233316432,-0.04749663983732019,0.005017067385499215,0.02,50
7,26,-0.10214534620617899,-0.10545610615203323,0.0029094028724952147,0.08,50
7,27,-0.10243618279391842,-0.10754113236947316,0.002992589229901073,0.03,50
7,28,0.001712158752948334,-0.002136861542782909,0.008129098325312802,0.33,50
7,29,0.008414539633002704,-0.0043015114881631905,0.008436335023116531,0.06,50
7,30,0.013205522461885999,-0.0030426278282629548,0.008153926127897516,0.04,50
7,31,-0.0406293671843887,-0.0520667792711676,0.0049200984311768845,0.01,50
7,32,0.00488991837368058,-0.0016946183870443238,0.007962792243363798,0.19,50
7,33,-0.004611995191312779,-0.003454409514123831,0.007738322277578685,0.6,50
7,34,-0.09245687454665252,-0.10282027243592244,0.0034028982636087096,0.01,50
7,35,-0.030833344688215303,-0.04381865264347897,0.005042699771603099,0.0,50
8,0,-0.019157594826399282,-0.0003491634098301616,0.009232737593894253,0.97,50
8,1,-0.00015333238289028106,-0.0011903501678762962,0.008374214705612726,0.45,50
8,2,-0.012077559695422901,-0.0004051470352953235,0.008893094826287086,0.88,50
8,3,0.016754578910110562,0.00019276151475935033,0.008660206389176316,0.01,50
8,4,-0.00022620703178005686,-0.00013672852391630685,0.009099203079546606,0.5,50
8,5,0.018907938243739486,0.0014217552869676558,0.00935302841687846,0.06,50
8,6,0.006569702349615292,-0.0026742549490446767,0.00980850280416312,0.17,50
8,7,-0.0028523082513775555,0.0004759721549670648,0.007780182407887033,0.65,50
8,9,0.003456453796203518,0.001051438218073467,0.008394000175300535,0.34,50
8,10,-0.012216511393483565,8.662370766027161e-07,0.008841626502076516,0.95,50
8,11,0.010715231229904976,-0.001309515039476653,0.009079945233584841,0.09,50
8,12,0.00464261101265151,-0.0004805096536441883,0.00865102367808364,0.3,50
8,13,-0.012919228519215509,-8.371858998646454e-05,0.008760193596085876,0.93,50
8,14,-0.0025039699574115337,-0.0005829698602425992,0.009257105096880193,0.57,50
8,15,0.011417335349448499,-0.00043421772085710744,0.009211695157974419,0.08,50
8,16,-0.005933889976223294,0.0015726624482096407,0.007963324861237572,0.81,50
8,17,-0.00977030259251982,-0.002067132998146975,0.008357929817395268,0.81,50
8,18,-0.005366824584999652,0.00032303888237302956,0.00914082241420601,0.74,50
8,19,-0.003004996720517905,-0.0024018962287806317,0.008562917497121174,0.53,50
8,20,-0.06899029344952678,-0.07448806768331281,0.004067543054267005,0.06,50
8,21,-0.07685930498244542,-0.08286623234520135,0.00379644267175533,0.05,50
8,22,-0.003892004858297715,-0.016838799097867067,0.006869124888257536,0.02,50
8,23,0.004782375839101849,-0.004215387038711765,0.008006209632060909,0.16,50
8,24,-0.0504007170165352,-0.062194698762933515,0.00400836560743512,0.0,50
8,25,-0.044620315584431525,-0.04816931312835446,0.00552442198120619,0.25,50
8,26,-0.10272137835579576,-0.10556567090564271,0.002838891607162192,0.19,50
8,27,-0.09769654787799298,-0.1072504942916647,0.0027583108828761436,0.0,50
8,28,-0.01040465814653535,-0.001155600335839721,0.0068780780444355205,0.91,50
8,29,-0.016455167750543342,-0.0023255775138791173,0.008035250835636575,0.95,50
8,30,-0.00714887388930624,-0.0009297569646753351,0.007938595094248425,0.76,50
8,31,-0.05093147329108916,-0.05152921206855825,0.00449979300101475,0.45,50
8,32,0.00623167281667697,-0.0027461341177914523,0.008609633790458421,0.17,50
8,33,0.005447669261578747,-0.0032184354446894515,0.008010514430849608,0.11,50
8,34,-0.09841707877565797,-0.10328307668519016,0.0026674757891322473,0.02,50
8,35,-0.024644973426342975,-0.04608607327251759,0.005338895351733565,0.0,50
9,0,-0.011588177354437346,-0.0007701911621843694,0.009022186824051918,0.9,50
9,1,-0.0070170947335375655,-0.0006125752225517067,0.009491598806551548,0.72,50
9,2,-0.015234901283336433,-7.98426875326208e-05,0.010024652968683104,0.95,50
9,3,0.0017727053462006648,0.0007981046851107487,0.009776473293524187,0.43,50
9,4,-0.009890558186872789,-0.0005944418906220272,0.009670485686192259,0.83,50
9,5,0.005528936481319691,0.0009064447964442501,0.008626282905087374,0.29,50
9,6,0.02184684551739563,0.00020995143689081562,0.00839982918833451,0.01,50
9,7,0.009091328473347982,-0.00040853770017288684,0.008416406572317008,0.15,50
9,8,-0.003394231270948511,-0.0005827778964099046,0.00941973390999995,0.64,50
9,10,-0.008990913848603732,-0.00043217066861420903,0.008900993350142439,0.83,50
9,11,0.007289642642618499,-0.0006102099923065918,0.008678907130196088,0.17,50
9,12,-0.0002233997981662128,-0.0004701243678745082,0.00881333197080205,0.55,50
9,13,-0.00796773833891501,0.00017667868386147257,0.008154499514576745,0.84,50
9,14,0.0016924700377752289,0.0009541975019942906,0.008959370250049305,0.45,50
9,15,0.011944689994283608,-0.001274254382961635,0.010043609303493886,0.12,50
9,16,0.004910608466604238,0.00011680574106365138,0.01013854203769921,0.34,50
9,17,0.00045905862811612685,-0.00018370399808962157,0.010181548987952843,0.51,50
9,18,-0.011122275416639793,-0.000753641075326752,0.009174521651858709,0.86,50
9,19,-0.006630017676227229,0.00036232583666304883,0.00827812745755121,0.75,50
9,20,-0.06882026217965287,-0.07450766714183321,0.0038502924890146065,0.04,50
9,21,-0.0707606222137368,-0.08304453785018621,0.0036103406398970187,0.0,50
9,22,-0.004941147740174068,-0.017515486565507478,0.005896226154213341,0.01,50
9,23,0.0214560818614859,-0.004303439500837534,0.008127022768351281,0.0,50
9,24,-0.060705995256429224,-0.06333694931685091,0.004437907038201171,0.3,50
9,25,-0.04099295130521541,-0.04865139263063403,0.004979387265859041,0.09,50
9,26,-0.09402294662770716,-0.10582212088483528,0.002798559608691367,0.0,50
9,27,-0.10412356745389717,-0.10739881529310673,0.003050159870402791,0.14,50
9,28,0.002951920996290991,-0.0030287362358847815,0.008162054545025053,0.18,50
9,29,0.0076253469733919,-0.003212156721135936,0.009596166578295824,0.15,50
9,30,-0.003103535442430194,-0.0021849080670940067,0.007691723831718777,0.55,50
9,31,-0.05225028943913268,-0.05181016750143347,0.004610273402071043,0.53,50
9,32,0.0020355145847029688,-0.0027399056471399887,0.007975085730579803,0.3,50
9,33,-0.004220861100930284,-0.0021609619158554543,0.007592914615659736,0.64,50
9,34,-0.10059755031039064,-0.10367335500026954,0.003266162262237797,0.18,50
9,35,-0.0273014944358716,-0.044761030832749266,0.0048613430657375965,0.0,50
10,0,0.016605532955482116,-0.00032718583707917916,0.008823373963498025,0.03,50
10,1,-0.005285663957070752,-0.0004837688281344149,0.009329110541220412,0.7,50
